,Train ROC-AUC,Test ROC-AUC,Test Accuracy,Test Precision,Test Recall,Test F1,CV Mean,CV Std,Overfit (Train-Test)
catboost,0.8599054011824743,0.7827125672454248,0.6114883321626473,0.14949339337559994,0.8130841121495327,0.25255255255255254,,,0.07719283393704945
lightgbm,0.8458827838468582,0.7771016286100834,0.7343583339837144,0.18540320439054617,0.6749919432806961,0.2909027777777778,,,0.06878115523677486
xgboost,0.9823643645643338,0.7500139116121897,0.7775826634407763,0.19635390533534036,0.5675153077666774,0.29176158720954315,,,0.23235045295214418
logistic_regression,0.7471456469027896,0.748524742099253,0.48666718697156536,0.12193070207348126,0.8641637125362552,0.21370790994221955,,,-0.001379095196463398
random_forest,0.7785776892715718,0.7471766369951272,0.44656468690652723,0.11580505338830743,0.882533032549146,0.20474383656380254,,,0.03140105227644463
sgd_classifier,0.6869353230462194,0.6901898683006382,0.5809594422331487,0.1260818309899652,0.706574282951982,0.21398072465536172,,,-0.003254545254418817
